[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.4187
[1_Solution] EECBS_MAKESPAN: 22, SOC(A*): 127, MS(A*): 22, TIMECOST: 0.3353
[2_Solution] EECBS_MAKESPAN: 20, SOC(A*): 112, MS(A*): 20, TIMECOST: 0.1341
[3_Solution] EECBS_MAKESPAN: 20, SOC(A*): 117, MS(A*): 20, TIMECOST: 0.1318
[4_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.1332
[5_Solution] EECBS_MAKESPAN: 20, SOC(A*): 123, MS(A*): 20, TIMECOST: 0.1337
[6_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.1326
[7_Solution] EECBS_MAKESPAN: 20, SOC(A*): 108, MS(A*): 20, TIMECOST: 0.1298
[8_Solution] EECBS_MAKESPAN: 20, SOC(A*): 112, MS(A*): 20, TIMECOST: 0.1422
[9_Solution] EECBS_MAKESPAN: 20, SOC(A*): 107, MS(A*): 20, TIMECOST: 0.1314
[10_Solution] EECBS_MAKESPAN: 20, SOC(A*): 107, MS(A*): 20, TIMECOST: 0.1318
[11_Solution] EECBS_MAKESPAN: 20, SOC(A*): 119, MS(A*): 20, TIMECOST: 0.1395
[12_Solution] EECBS_MAKESPAN: 20, SOC(A*): 118, MS(A*): 20, TIMECOST: 0.1327
[13_Solution] EECBS_MAKESPAN: 20, SOC(A*): 136, MS(A*): 20, TIMECOST: 0.1383
[14_Solution] EECBS_MAKESPAN: 20, SOC(A*): 113, MS(A*): 20, TIMECOST: 0.1400
[15_Solution] EECBS_MAKESPAN: 20, SOC(A*): 121, MS(A*): 20, TIMECOST: 0.1293
[16_Solution] EECBS_MAKESPAN: 20, SOC(A*): 107, MS(A*): 20, TIMECOST: 0.1318
[17_Solution] EECBS_MAKESPAN: 20, SOC(A*): 120, MS(A*): 20, TIMECOST: 0.1290
[18_Solution] EECBS_MAKESPAN: 20, SOC(A*): 119, MS(A*): 20, TIMECOST: 0.1297
[19_Solution] EECBS_MAKESPAN: 20, SOC(A*): 127, MS(A*): 20, TIMECOST: 0.1475
[20_Solution] EECBS_MAKESPAN: 20, SOC(A*): 123, MS(A*): 20, TIMECOST: 0.1316
[21_Solution] EECBS_MAKESPAN: 20, SOC(A*): 116, MS(A*): 20, TIMECOST: 0.1414
[22_Solution] EECBS_MAKESPAN: 20, SOC(A*): 120, MS(A*): 20, TIMECOST: 0.1333
[23_Solution] EECBS_MAKESPAN: 20, SOC(A*): 126, MS(A*): 20, TIMECOST: 0.1467
[24_Solution] EECBS_MAKESPAN: 20, SOC(A*): 120, MS(A*): 20, TIMECOST: 0.1472
[25_Solution] EECBS_MAKESPAN: 20, SOC(A*): 116, MS(A*): 20, TIMECOST: 0.1283
[26_Solution] EECBS_MAKESPAN: 20, SOC(A*): 116, MS(A*): 20, TIMECOST: 0.1403
[27_Solution] EECBS_MAKESPAN: 20, SOC(A*): 105, MS(A*): 20, TIMECOST: 0.1309
[28_Solution] EECBS_MAKESPAN: 20, SOC(A*): 105, MS(A*): 20, TIMECOST: 0.1243
[29_Solution] EECBS_MAKESPAN: 20, SOC(A*): 112, MS(A*): 20, TIMECOST: 0.1390
[30_Solution] EECBS_MAKESPAN: 20, SOC(A*): 107, MS(A*): 20, TIMECOST: 0.1231
[31_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0724
[32_Solution] EECBS_MAKESPAN: 20, SOC(A*): 110, MS(A*): 20, TIMECOST: 0.0719
