[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2698
[1_Solution] EECBS_MAKESPAN: 22, SOC(A*): 125, MS(A*): 22, TIMECOST: 0.3892
[2_Solution] EECBS_MAKESPAN: 22, SOC(A*): 119, MS(A*): 22, TIMECOST: 0.2985
[3_Solution] EECBS_MAKESPAN: 22, SOC(A*): 122, MS(A*): 22, TIMECOST: 0.2836
[4_Solution] EECBS_MAKESPAN: 22, SOC(A*): 126, MS(A*): 22, TIMECOST: 0.3366
[5_Solution] EECBS_MAKESPAN: 22, SOC(A*): 123, MS(A*): 22, TIMECOST: 0.3385
[6_Solution] EECBS_MAKESPAN: 22, SOC(A*): 124, MS(A*): 22, TIMECOST: 0.3386
[7_Solution] EECBS_MAKESPAN: 22, SOC(A*): 121, MS(A*): 22, TIMECOST: 0.3403
[8_Solution] EECBS_MAKESPAN: 22, SOC(A*): 143, MS(A*): 22, TIMECOST: 0.4046
[9_Solution] EECBS_MAKESPAN: 22, SOC(A*): 152, MS(A*): 22, TIMECOST: 0.3774
[10_Solution] EECBS_MAKESPAN: 22, SOC(A*): 124, MS(A*): 22, TIMECOST: 0.4260
[11_Solution] EECBS_MAKESPAN: 22, SOC(A*): 131, MS(A*): 22, TIMECOST: 0.3339
[12_Solution] EECBS_MAKESPAN: 22, SOC(A*): 126, MS(A*): 22, TIMECOST: 0.3929
[13_Solution] EECBS_MAKESPAN: 22, SOC(A*): 137, MS(A*): 22, TIMECOST: 0.3630
[14_Solution] EECBS_MAKESPAN: 22, SOC(A*): 137, MS(A*): 22, TIMECOST: 0.3414
[15_Solution] EECBS_MAKESPAN: 22, SOC(A*): 141, MS(A*): 22, TIMECOST: 0.3722
[16_Solution] EECBS_MAKESPAN: 22, SOC(A*): 141, MS(A*): 22, TIMECOST: 0.3485
[17_Solution] EECBS_MAKESPAN: 22, SOC(A*): 142, MS(A*): 22, TIMECOST: 0.2434
[18_Solution] EECBS_MAKESPAN: 22, SOC(A*): 154, MS(A*): 22, TIMECOST: 0.2571
[19_Solution] EECBS_MAKESPAN: 22, SOC(A*): 163, MS(A*): 22, TIMECOST: 0.2451
[20_Solution] EECBS_MAKESPAN: 22, SOC(A*): 154, MS(A*): 22, TIMECOST: 0.2443
[21_Solution] EECBS_MAKESPAN: 22, SOC(A*): 138, MS(A*): 22, TIMECOST: 0.2372
[22_Solution] EECBS_MAKESPAN: 22, SOC(A*): 156, MS(A*): 22, TIMECOST: 0.2352
[23_Solution] EECBS_MAKESPAN: 22, SOC(A*): 157, MS(A*): 22, TIMECOST: 0.2373
[24_Solution] EECBS_MAKESPAN: 22, SOC(A*): 148, MS(A*): 22, TIMECOST: 0.2840
[25_Solution] EECBS_MAKESPAN: 22, SOC(A*): 164, MS(A*): 22, TIMECOST: 0.2301
[26_Solution] EECBS_MAKESPAN: 22, SOC(A*): 152, MS(A*): 22, TIMECOST: 0.3021
[27_Solution] EECBS_MAKESPAN: 22, SOC(A*): 140, MS(A*): 22, TIMECOST: 0.2311
[28_Solution] EECBS_MAKESPAN: 22, SOC(A*): 147, MS(A*): 22, TIMECOST: 0.2798
[29_Solution] EECBS_MAKESPAN: 22, SOC(A*): 148, MS(A*): 22, TIMECOST: 0.2445
[30_Solution] EECBS_MAKESPAN: 22, SOC(A*): 141, MS(A*): 22, TIMECOST: 0.2625
[31_Solution] EECBS_MAKESPAN: 22, SOC(A*): 135, MS(A*): 22, TIMECOST: 0.2812
[32_Solution] EECBS_MAKESPAN: 22, SOC(A*): 151, MS(A*): 22, TIMECOST: 0.2388
[33_Solution] EECBS_MAKESPAN: 22, SOC(A*): 148, MS(A*): 22, TIMECOST: 0.2811
[34_Solution] EECBS_MAKESPAN: 22, SOC(A*): 148, MS(A*): 22, TIMECOST: 0.2449
[35_Solution] EECBS_MAKESPAN: 22, SOC(A*): 152, MS(A*): 22, TIMECOST: 0.2336
[36_Solution] EECBS_MAKESPAN: 22, SOC(A*): 140, MS(A*): 22, TIMECOST: 0.2354
[37_Solution] EECBS_MAKESPAN: 22, SOC(A*): 136, MS(A*): 22, TIMECOST: 0.2737
[38_Solution] EECBS_MAKESPAN: 20, SOC(A*): 146, MS(A*): 20, TIMECOST: 0.1103
[39_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1077
[40_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.1130
[41_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.1135
[42_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1119
[43_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1083
[44_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1083
[45_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1083
[46_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.1131
[47_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1110
[48_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1105
[49_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1088
[50_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.1079
[51_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1089
[52_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1083
[53_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1097
[54_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.1085
[55_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1086
[56_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.1086
[57_Solution] EECBS_MAKESPAN: 20, SOC(A*): 151, MS(A*): 20, TIMECOST: 0.1079
[58_Solution] EECBS_MAKESPAN: 20, SOC(A*): 146, MS(A*): 20, TIMECOST: 0.1115
[59_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1111
[60_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1094
[61_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1080
[62_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1102
[63_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.1083
[64_Solution] EECBS_MAKESPAN: 20, SOC(A*): 146, MS(A*): 20, TIMECOST: 0.1083
[65_Solution] EECBS_MAKESPAN: 20, SOC(A*): 151, MS(A*): 20, TIMECOST: 0.1424
[66_Solution] EECBS_MAKESPAN: 20, SOC(A*): 146, MS(A*): 20, TIMECOST: 0.1117
[67_Solution] EECBS_MAKESPAN: 20, SOC(A*): 151, MS(A*): 20, TIMECOST: 0.1114
[68_Solution] EECBS_MAKESPAN: 20, SOC(A*): 146, MS(A*): 20, TIMECOST: 0.1112
[69_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0568
[70_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0575
[71_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0580
[72_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0578
[73_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0576
[74_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0579
[75_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0575
[76_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0568
[77_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0569
[78_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0577
[79_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0577
[80_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0571
[81_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0577
[82_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0574
[83_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0574
[84_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0576
[85_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0575
[86_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0566
[87_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0568
[88_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0609
[89_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0571
[90_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.0572
[91_Solution] EECBS_MAKESPAN: 20, SOC(A*): 150, MS(A*): 20, TIMECOST: 0.0569
