[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2669
[1_Solution] EECBS_MAKESPAN: 20, SOC(A*): 107, MS(A*): 20, TIMECOST: 0.3768
[2_Solution] EECBS_MAKESPAN: 20, SOC(A*): 120, MS(A*): 20, TIMECOST: 0.2892
[3_Solution] EECBS_MAKESPAN: 20, SOC(A*): 122, MS(A*): 20, TIMECOST: 0.2917
[4_Solution] EECBS_MAKESPAN: 20, SOC(A*): 127, MS(A*): 20, TIMECOST: 0.3789
[5_Solution] EECBS_MAKESPAN: 20, SOC(A*): 122, MS(A*): 20, TIMECOST: 0.3336
[6_Solution] EECBS_MAKESPAN: 20, SOC(A*): 130, MS(A*): 20, TIMECOST: 0.3086
[7_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.2900
[8_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.3085
[9_Solution] EECBS_MAKESPAN: 20, SOC(A*): 132, MS(A*): 20, TIMECOST: 0.3005
[10_Solution] EECBS_MAKESPAN: 20, SOC(A*): 119, MS(A*): 20, TIMECOST: 0.3101
[11_Solution] EECBS_MAKESPAN: 20, SOC(A*): 136, MS(A*): 20, TIMECOST: 0.3676
[12_Solution] EECBS_MAKESPAN: 20, SOC(A*): 139, MS(A*): 20, TIMECOST: 0.3769
[13_Solution] EECBS_MAKESPAN: 20, SOC(A*): 139, MS(A*): 20, TIMECOST: 0.3072
[14_Solution] EECBS_MAKESPAN: 20, SOC(A*): 126, MS(A*): 20, TIMECOST: 0.3499
[15_Solution] EECBS_MAKESPAN: 20, SOC(A*): 121, MS(A*): 20, TIMECOST: 0.3652
[16_Solution] EECBS_MAKESPAN: 20, SOC(A*): 119, MS(A*): 20, TIMECOST: 0.3377
[17_Solution] EECBS_MAKESPAN: 20, SOC(A*): 122, MS(A*): 20, TIMECOST: 0.2901
[18_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.1818
[19_Solution] EECBS_MAKESPAN: 20, SOC(A*): 118, MS(A*): 20, TIMECOST: 0.1884
[20_Solution] EECBS_MAKESPAN: 20, SOC(A*): 125, MS(A*): 20, TIMECOST: 0.1965
[21_Solution] EECBS_MAKESPAN: 20, SOC(A*): 122, MS(A*): 20, TIMECOST: 0.2081
[22_Solution] EECBS_MAKESPAN: 20, SOC(A*): 132, MS(A*): 20, TIMECOST: 0.2245
[23_Solution] EECBS_MAKESPAN: 20, SOC(A*): 127, MS(A*): 20, TIMECOST: 0.2169
[24_Solution] EECBS_MAKESPAN: 20, SOC(A*): 120, MS(A*): 20, TIMECOST: 0.1971
[25_Solution] EECBS_MAKESPAN: 20, SOC(A*): 136, MS(A*): 20, TIMECOST: 0.1964
[26_Solution] EECBS_MAKESPAN: 20, SOC(A*): 151, MS(A*): 20, TIMECOST: 0.2312
[27_Solution] EECBS_MAKESPAN: 20, SOC(A*): 151, MS(A*): 20, TIMECOST: 0.2313
[28_Solution] EECBS_MAKESPAN: 20, SOC(A*): 147, MS(A*): 20, TIMECOST: 0.2062
[29_Solution] EECBS_MAKESPAN: 20, SOC(A*): 147, MS(A*): 20, TIMECOST: 0.1982
[30_Solution] EECBS_MAKESPAN: 20, SOC(A*): 132, MS(A*): 20, TIMECOST: 0.2301
[31_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.2091
[32_Solution] EECBS_MAKESPAN: 20, SOC(A*): 144, MS(A*): 20, TIMECOST: 0.2165
[33_Solution] EECBS_MAKESPAN: 20, SOC(A*): 144, MS(A*): 20, TIMECOST: 0.2173
[34_Solution] EECBS_MAKESPAN: 20, SOC(A*): 144, MS(A*): 20, TIMECOST: 0.2174
[35_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.2069
[36_Solution] EECBS_MAKESPAN: 18, SOC(A*): 132, MS(A*): 18, TIMECOST: 0.2151
[37_Solution] EECBS_MAKESPAN: 18, SOC(A*): 147, MS(A*): 18, TIMECOST: 0.2172
[38_Solution] EECBS_MAKESPAN: 18, SOC(A*): 147, MS(A*): 18, TIMECOST: 0.2186
[39_Solution] EECBS_MAKESPAN: 18, SOC(A*): 144, MS(A*): 18, TIMECOST: 0.1997
[40_Solution] EECBS_MAKESPAN: 18, SOC(A*): 144, MS(A*): 18, TIMECOST: 0.1928
[41_Solution] EECBS_MAKESPAN: 18, SOC(A*): 129, MS(A*): 18, TIMECOST: 0.2081
[42_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1088
[43_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1043
[44_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1021
[45_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1071
[46_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1073
[47_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1018
[48_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1027
[49_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1021
[50_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1044
[51_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1042
[52_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1022
[53_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1077
[54_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1019
[55_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1073
[56_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1022
[57_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1073
[58_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1091
[59_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1043
[60_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1079
[61_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1026
[62_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1021
[63_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1089
[64_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1017
[65_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1086
[66_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1075
[67_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1025
[68_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.1035
[69_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1026
[70_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1110
[71_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1077
[72_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1020
[73_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.1097
[74_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0484
[75_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0487
[76_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0488
[77_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0490
[78_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0491
[79_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0489
[80_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[81_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0490
[82_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0488
[83_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0494
[84_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0490
[85_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0489
[86_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[87_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0486
[88_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[89_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0486
[90_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0485
[91_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0487
[92_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0492
[93_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0487
[94_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0485
[95_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0496
[96_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[97_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0488
[98_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0493
[99_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0489
[100_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0490
[101_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[102_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0486
[103_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0491
[104_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0491
[105_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0494
[106_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0493
[107_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0490
[108_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0490
[109_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0491
[110_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0490
[111_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0491
[112_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0490
[113_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0492
[114_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0500
[115_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0491
[116_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0493
[117_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0490
[118_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0489
[119_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[120_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0487
[121_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0489
[122_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0486
[123_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0487
[124_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0489
[125_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0490
[126_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0486
[127_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0485
[128_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0491
[129_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0492
[130_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0491
[131_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0489
[132_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0490
[133_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[134_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0489
[135_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0489
[136_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0484
[137_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0486
[138_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0489
[139_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0491
[140_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[141_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0491
[142_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0494
[143_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[144_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0484
[145_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0485
[146_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0487
[147_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0488
[148_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0485
[149_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0484
[150_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0478
[151_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0488
[152_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0488
[153_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0487
[154_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0483
[155_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0490
[156_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0486
[157_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0490
[158_Solution] EECBS_MAKESPAN: 18, SOC(A*): 134, MS(A*): 18, TIMECOST: 0.0485
[159_Solution] EECBS_MAKESPAN: 18, SOC(A*): 142, MS(A*): 18, TIMECOST: 0.0488
