[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2722
[1_Solution] EECBS_MAKESPAN: 22, SOC(A*): 131, MS(A*): 22, TIMECOST: 0.3419
[2_Solution] EECBS_MAKESPAN: 22, SOC(A*): 132, MS(A*): 22, TIMECOST: 0.3304
[3_Solution] EECBS_MAKESPAN: 22, SOC(A*): 129, MS(A*): 22, TIMECOST: 0.3301
[4_Solution] EECBS_MAKESPAN: 22, SOC(A*): 120, MS(A*): 22, TIMECOST: 0.3898
[5_Solution] EECBS_MAKESPAN: 22, SOC(A*): 126, MS(A*): 22, TIMECOST: 0.3579
[6_Solution] EECBS_MAKESPAN: 22, SOC(A*): 129, MS(A*): 22, TIMECOST: 0.3657
[7_Solution] EECBS_MAKESPAN: 22, SOC(A*): 129, MS(A*): 22, TIMECOST: 0.3625
[8_Solution] EECBS_MAKESPAN: 22, SOC(A*): 123, MS(A*): 22, TIMECOST: 0.3648
[9_Solution] EECBS_MAKESPAN: 22, SOC(A*): 127, MS(A*): 22, TIMECOST: 0.3486
[10_Solution] EECBS_MAKESPAN: 22, SOC(A*): 151, MS(A*): 22, TIMECOST: 0.4139
[11_Solution] EECBS_MAKESPAN: 22, SOC(A*): 157, MS(A*): 22, TIMECOST: 0.3395
[12_Solution] EECBS_MAKESPAN: 22, SOC(A*): 157, MS(A*): 22, TIMECOST: 0.3756
[13_Solution] EECBS_MAKESPAN: 22, SOC(A*): 166, MS(A*): 22, TIMECOST: 0.3349
[14_Solution] EECBS_MAKESPAN: 22, SOC(A*): 166, MS(A*): 22, TIMECOST: 0.4183
[15_Solution] EECBS_MAKESPAN: 22, SOC(A*): 152, MS(A*): 22, TIMECOST: 0.4029
[16_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.3329
[17_Solution] EECBS_MAKESPAN: 21, SOC(A*): 157, MS(A*): 21, TIMECOST: 0.1346
[18_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.1572
[19_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.1624
[20_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.1373
[21_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.1389
[22_Solution] EECBS_MAKESPAN: 20, SOC(A*): 154, MS(A*): 20, TIMECOST: 0.1376
[23_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.1534
[24_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.1375
[25_Solution] EECBS_MAKESPAN: 20, SOC(A*): 156, MS(A*): 20, TIMECOST: 0.1376
[26_Solution] EECBS_MAKESPAN: 20, SOC(A*): 156, MS(A*): 20, TIMECOST: 0.1494
[27_Solution] EECBS_MAKESPAN: 20, SOC(A*): 156, MS(A*): 20, TIMECOST: 0.1385
[28_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.1574
[29_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.1563
[30_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.1517
[31_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.1503
[32_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.1383
[33_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.1389
[34_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.1381
[35_Solution] EECBS_MAKESPAN: 20, SOC(A*): 156, MS(A*): 20, TIMECOST: 0.1371
[36_Solution] EECBS_MAKESPAN: 20, SOC(A*): 156, MS(A*): 20, TIMECOST: 0.1552
[37_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.1568
[38_Solution] EECBS_MAKESPAN: 20, SOC(A*): 153, MS(A*): 20, TIMECOST: 0.1385
[39_Solution] EECBS_MAKESPAN: 20, SOC(A*): 156, MS(A*): 20, TIMECOST: 0.1566
[40_Solution] EECBS_MAKESPAN: 20, SOC(A*): 156, MS(A*): 20, TIMECOST: 0.1490
[41_Solution] EECBS_MAKESPAN: 20, SOC(A*): 156, MS(A*): 20, TIMECOST: 0.1496
[42_Solution] EECBS_MAKESPAN: 20, SOC(A*): 156, MS(A*): 20, TIMECOST: 0.1400
