[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2534
[1_Solution] EECBS_MAKESPAN: 22, SOC(A*): 129, MS(A*): 22, TIMECOST: 0.3098
[2_Solution] EECBS_MAKESPAN: 22, SOC(A*): 142, MS(A*): 22, TIMECOST: 0.3249
[3_Solution] EECBS_MAKESPAN: 22, SOC(A*): 138, MS(A*): 22, TIMECOST: 0.3500
[4_Solution] EECBS_MAKESPAN: 22, SOC(A*): 146, MS(A*): 22, TIMECOST: 0.4020
[5_Solution] EECBS_MAKESPAN: 22, SOC(A*): 146, MS(A*): 22, TIMECOST: 0.3419
[6_Solution] EECBS_MAKESPAN: 22, SOC(A*): 133, MS(A*): 22, TIMECOST: 0.3335
[7_Solution] EECBS_MAKESPAN: 22, SOC(A*): 143, MS(A*): 22, TIMECOST: 0.3708
[8_Solution] EECBS_MAKESPAN: 22, SOC(A*): 143, MS(A*): 22, TIMECOST: 0.3266
[9_Solution] EECBS_MAKESPAN: 22, SOC(A*): 149, MS(A*): 22, TIMECOST: 0.3486
[10_Solution] EECBS_MAKESPAN: 22, SOC(A*): 150, MS(A*): 22, TIMECOST: 0.3385
[11_Solution] EECBS_MAKESPAN: 22, SOC(A*): 150, MS(A*): 22, TIMECOST: 0.3586
[12_Solution] EECBS_MAKESPAN: 22, SOC(A*): 145, MS(A*): 22, TIMECOST: 0.3695
[13_Solution] EECBS_MAKESPAN: 22, SOC(A*): 160, MS(A*): 22, TIMECOST: 0.3241
[14_Solution] EECBS_MAKESPAN: 21, SOC(A*): 150, MS(A*): 21, TIMECOST: 0.4128
[15_Solution] EECBS_MAKESPAN: 23, SOC(A*): 157, MS(A*): 21, TIMECOST: 0.3499
[16_Solution] EECBS_MAKESPAN: 23, SOC(A*): 157, MS(A*): 21, TIMECOST: 0.4223
[17_Solution] EECBS_MAKESPAN: 23, SOC(A*): 169, MS(A*): 21, TIMECOST: 0.3529
[18_Solution] EECBS_MAKESPAN: 21, SOC(A*): 161, MS(A*): 21, TIMECOST: 0.1154
[19_Solution] EECBS_MAKESPAN: 21, SOC(A*): 161, MS(A*): 21, TIMECOST: 0.1147
[20_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.1235
[21_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.1193
[22_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.1206
[23_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.1188
[24_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.0998
[25_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.1010
[26_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.1001
[27_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.1205
[28_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.1206
[29_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.1003
[30_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.1184
[31_Solution] EECBS_MAKESPAN: 21, SOC(A*): 152, MS(A*): 21, TIMECOST: 0.1003
