[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2693
[1_Solution] EECBS_MAKESPAN: 22, SOC(A*): 129, MS(A*): 22, TIMECOST: 0.3065
[2_Solution] EECBS_MAKESPAN: 22, SOC(A*): 142, MS(A*): 22, TIMECOST: 0.3112
[3_Solution] EECBS_MAKESPAN: 22, SOC(A*): 138, MS(A*): 22, TIMECOST: 0.3498
[4_Solution] EECBS_MAKESPAN: 22, SOC(A*): 146, MS(A*): 22, TIMECOST: 0.3993
[5_Solution] EECBS_MAKESPAN: 22, SOC(A*): 146, MS(A*): 22, TIMECOST: 0.3396
[6_Solution] EECBS_MAKESPAN: 22, SOC(A*): 133, MS(A*): 22, TIMECOST: 0.3315
[7_Solution] EECBS_MAKESPAN: 22, SOC(A*): 143, MS(A*): 22, TIMECOST: 0.3683
[8_Solution] EECBS_MAKESPAN: 22, SOC(A*): 143, MS(A*): 22, TIMECOST: 0.3258
[9_Solution] EECBS_MAKESPAN: 22, SOC(A*): 149, MS(A*): 22, TIMECOST: 0.3438
[10_Solution] EECBS_MAKESPAN: 22, SOC(A*): 150, MS(A*): 22, TIMECOST: 0.3358
[11_Solution] EECBS_MAKESPAN: 22, SOC(A*): 150, MS(A*): 22, TIMECOST: 0.3574
[12_Solution] EECBS_MAKESPAN: 22, SOC(A*): 145, MS(A*): 22, TIMECOST: 0.3687
[13_Solution] EECBS_MAKESPAN: 22, SOC(A*): 160, MS(A*): 22, TIMECOST: 0.3220
[14_Solution] EECBS_MAKESPAN: 21, SOC(A*): 150, MS(A*): 21, TIMECOST: 0.4104
[15_Solution] EECBS_MAKESPAN: 23, SOC(A*): 157, MS(A*): 21, TIMECOST: 0.3431
[16_Solution] EECBS_MAKESPAN: 23, SOC(A*): 157, MS(A*): 21, TIMECOST: 0.4212
[17_Solution] EECBS_MAKESPAN: 23, SOC(A*): 169, MS(A*): 21, TIMECOST: 0.3551
[18_Solution] EECBS_MAKESPAN: 23, SOC(A*): 169, MS(A*): 21, TIMECOST: 0.4222
[19_Solution] EECBS_MAKESPAN: 23, SOC(A*): 156, MS(A*): 21, TIMECOST: 0.3559
[20_Solution] EECBS_MAKESPAN: 23, SOC(A*): 169, MS(A*): 21, TIMECOST: 0.4515
[21_Solution] EECBS_MAKESPAN: 23, SOC(A*): 171, MS(A*): 21, TIMECOST: 0.4708
[22_Solution] EECBS_MAKESPAN: 23, SOC(A*): 171, MS(A*): 21, TIMECOST: 0.3320
[23_Solution] EECBS_MAKESPAN: 23, SOC(A*): 153, MS(A*): 21, TIMECOST: 0.3419
[24_Solution] EECBS_MAKESPAN: 21, SOC(A*): 155, MS(A*): 21, TIMECOST: 0.3073
[25_Solution] EECBS_MAKESPAN: 21, SOC(A*): 155, MS(A*): 21, TIMECOST: 0.3333
[26_Solution] EECBS_MAKESPAN: 20, SOC(A*): 152, MS(A*): 20, TIMECOST: 0.1375
[27_Solution] EECBS_MAKESPAN: 20, SOC(A*): 142, MS(A*): 20, TIMECOST: 0.1434
[28_Solution] EECBS_MAKESPAN: 20, SOC(A*): 136, MS(A*): 20, TIMECOST: 0.1208
[29_Solution] EECBS_MAKESPAN: 20, SOC(A*): 136, MS(A*): 20, TIMECOST: 0.1397
[30_Solution] EECBS_MAKESPAN: 20, SOC(A*): 134, MS(A*): 20, TIMECOST: 0.1407
[31_Solution] EECBS_MAKESPAN: 20, SOC(A*): 127, MS(A*): 20, TIMECOST: 0.1388
[32_Solution] EECBS_MAKESPAN: 20, SOC(A*): 140, MS(A*): 20, TIMECOST: 0.1229
[33_Solution] EECBS_MAKESPAN: 20, SOC(A*): 136, MS(A*): 20, TIMECOST: 0.1410
[34_Solution] EECBS_MAKESPAN: 20, SOC(A*): 143, MS(A*): 20, TIMECOST: 0.1375
[35_Solution] EECBS_MAKESPAN: 20, SOC(A*): 131, MS(A*): 20, TIMECOST: 0.1374
[36_Solution] EECBS_MAKESPAN: 20, SOC(A*): 131, MS(A*): 20, TIMECOST: 0.1231
[37_Solution] EECBS_MAKESPAN: 20, SOC(A*): 129, MS(A*): 20, TIMECOST: 0.1387
[38_Solution] EECBS_MAKESPAN: 20, SOC(A*): 136, MS(A*): 20, TIMECOST: 0.1405
[39_Solution] EECBS_MAKESPAN: 20, SOC(A*): 136, MS(A*): 20, TIMECOST: 0.1401
[40_Solution] EECBS_MAKESPAN: 20, SOC(A*): 139, MS(A*): 20, TIMECOST: 0.1370
[41_Solution] EECBS_MAKESPAN: 20, SOC(A*): 139, MS(A*): 20, TIMECOST: 0.1241
[42_Solution] EECBS_MAKESPAN: 20, SOC(A*): 142, MS(A*): 20, TIMECOST: 0.1238
[43_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.1363
[44_Solution] EECBS_MAKESPAN: 20, SOC(A*): 137, MS(A*): 20, TIMECOST: 0.1238
[45_Solution] EECBS_MAKESPAN: 20, SOC(A*): 149, MS(A*): 20, TIMECOST: 0.1462
[46_Solution] EECBS_MAKESPAN: 20, SOC(A*): 149, MS(A*): 20, TIMECOST: 0.1380
[47_Solution] EECBS_MAKESPAN: 20, SOC(A*): 143, MS(A*): 20, TIMECOST: 0.1372
[48_Solution] EECBS_MAKESPAN: 20, SOC(A*): 135, MS(A*): 20, TIMECOST: 0.1423
[49_Solution] EECBS_MAKESPAN: 20, SOC(A*): 143, MS(A*): 20, TIMECOST: 0.1425
[50_Solution] EECBS_MAKESPAN: 20, SOC(A*): 147, MS(A*): 20, TIMECOST: 0.1369
[51_Solution] EECBS_MAKESPAN: 20, SOC(A*): 142, MS(A*): 20, TIMECOST: 0.1429
[52_Solution] EECBS_MAKESPAN: 20, SOC(A*): 140, MS(A*): 20, TIMECOST: 0.1408
[53_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.1361
[54_Solution] EECBS_MAKESPAN: 20, SOC(A*): 138, MS(A*): 20, TIMECOST: 0.1337
[55_Solution] EECBS_MAKESPAN: 20, SOC(A*): 140, MS(A*): 20, TIMECOST: 0.1399
[56_Solution] EECBS_MAKESPAN: 20, SOC(A*): 144, MS(A*): 20, TIMECOST: 0.1397
[57_Solution] EECBS_MAKESPAN: 20, SOC(A*): 142, MS(A*): 20, TIMECOST: 0.1418
[58_Solution] EECBS_MAKESPAN: 20, SOC(A*): 136, MS(A*): 20, TIMECOST: 0.1398
[59_Solution] EECBS_MAKESPAN: 20, SOC(A*): 124, MS(A*): 20, TIMECOST: 0.1227
[60_Solution] EECBS_MAKESPAN: 20, SOC(A*): 133, MS(A*): 20, TIMECOST: 0.1360
