[INIT] EECBS_MAKESPAN: 22, SOC(A*): 118, MS(A*): 22, Hungarian time: 0.2637
[1_Solution] EECBS_MAKESPAN: 22, SOC(A*): 123, MS(A*): 22, TIMECOST: 0.3029
[2_Solution] EECBS_MAKESPAN: 20, SOC(A*): 122, MS(A*): 20, TIMECOST: 0.3739
[3_Solution] EECBS_MAKESPAN: 20, SOC(A*): 128, MS(A*): 20, TIMECOST: 0.3682
[4_Solution] EECBS_MAKESPAN: 20, SOC(A*): 144, MS(A*): 20, TIMECOST: 0.3356
[5_Solution] EECBS_MAKESPAN: 20, SOC(A*): 144, MS(A*): 20, TIMECOST: 0.2928
[6_Solution] EECBS_MAKESPAN: 20, SOC(A*): 144, MS(A*): 20, TIMECOST: 0.2945
[7_Solution] EECBS_MAKESPAN: 20, SOC(A*): 143, MS(A*): 20, TIMECOST: 0.3851
[8_Solution] EECBS_MAKESPAN: 20, SOC(A*): 144, MS(A*): 20, TIMECOST: 0.3462
[9_Solution] EECBS_MAKESPAN: 20, SOC(A*): 147, MS(A*): 20, TIMECOST: 0.3270
[10_Solution] EECBS_MAKESPAN: 20, SOC(A*): 131, MS(A*): 20, TIMECOST: 0.3306
[11_Solution] EECBS_MAKESPAN: 20, SOC(A*): 149, MS(A*): 20, TIMECOST: 0.3507
[12_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.3521
[13_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.3197
[14_Solution] EECBS_MAKESPAN: 20, SOC(A*): 143, MS(A*): 20, TIMECOST: 0.3039
[15_Solution] EECBS_MAKESPAN: 20, SOC(A*): 143, MS(A*): 20, TIMECOST: 0.3984
[16_Solution] EECBS_MAKESPAN: 20, SOC(A*): 145, MS(A*): 20, TIMECOST: 0.3105
[17_Solution] EECBS_MAKESPAN: 20, SOC(A*): 139, MS(A*): 20, TIMECOST: 0.3330
[18_Solution] EECBS_MAKESPAN: 20, SOC(A*): 139, MS(A*): 20, TIMECOST: 0.3870
[19_Solution] EECBS_MAKESPAN: 20, SOC(A*): 146, MS(A*): 20, TIMECOST: 0.4005
[20_Solution] EECBS_MAKESPAN: 20, SOC(A*): 132, MS(A*): 20, TIMECOST: 0.3836
[21_Solution] EECBS_MAKESPAN: 20, SOC(A*): 141, MS(A*): 20, TIMECOST: 0.3075
[22_Solution] EECBS_MAKESPAN: 20, SOC(A*): 138, MS(A*): 20, TIMECOST: 0.3212
[23_Solution] EECBS_MAKESPAN: 19, SOC(A*): 129, MS(A*): 19, TIMECOST: 0.3349
[24_Solution] EECBS_MAKESPAN: 19, SOC(A*): 126, MS(A*): 19, TIMECOST: 0.3095
[25_Solution] EECBS_MAKESPAN: 19, SOC(A*): 132, MS(A*): 19, TIMECOST: 0.3851
[26_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1021
[27_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1016
[28_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1020
[29_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1011
[30_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1015
[31_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1019
[32_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1013
[33_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1013
[34_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1013
[35_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1019
[36_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1005
[37_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1008
[38_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1017
[39_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1016
[40_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1020
[41_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1020
[42_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1014
[43_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1013
[44_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1022
[45_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1018
[46_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1021
[47_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1015
[48_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1017
[49_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1024
[50_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1014
[51_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1024
[52_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1019
[53_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1008
[54_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1013
[55_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1015
[56_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1013
[57_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1018
[58_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1019
[59_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1014
[60_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1008
[61_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1019
[62_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1014
[63_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1020
[64_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1024
[65_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1023
[66_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1014
[67_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1016
[68_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1019
[69_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1024
[70_Solution] EECBS_MAKESPAN: 18, SOC(A*): 136, MS(A*): 18, TIMECOST: 0.1021
[71_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.1017
[72_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0614
[73_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0625
[74_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0619
[75_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0625
[76_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0636
[77_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0622
[78_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0624
[79_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0622
[80_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0625
[81_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0623
[82_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0618
[83_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0629
[84_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0619
[85_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0625
[86_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0619
[87_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0629
[88_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0621
[89_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0622
[90_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0619
[91_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0626
[92_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0623
[93_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0624
[94_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0617
[95_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0623
[96_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0617
[97_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0616
[98_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0621
[99_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0630
[100_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0620
[101_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0624
[102_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0616
[103_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0620
[104_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0618
[105_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0618
[106_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0625
[107_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0619
[108_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0627
[109_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0616
[110_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0624
[111_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0626
[112_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0625
[113_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0616
[114_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0620
[115_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0621
[116_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0628
[117_Solution] EECBS_MAKESPAN: 18, SOC(A*): 143, MS(A*): 18, TIMECOST: 0.0625
