  0%|                                                                                                                                                                  | 0/20 [00:00<?, ?it/s]
a : [0 8], t : [[13, 9]]

a : [11 15], t : [[20, 6]]

a : [18 10], t : [[29, 22]]

a : [8 0], t : [[2, 28]]

a : [20 29], t : [[26, 13]]

a : [29 13], t : [[2, 5]]

a : [ 0 26], t : [[29, 8]]

a : [23 13], t : [[25, 5]]

a : [29  0], t : [[17, 25]]

a : [16 24], t : [[25, 26]]

a : [26 22], t : [[21, 22]]

a : [16 28], t : [[28, 15]]

a : [12  2], t : [[2, 25]]

a : [3 9], t : [[1, 16]]

a : [ 7 19], t : [[8, 30]]

a : [30 14], t : [[8, 9]]

a : [16 22], t : [[15, 6]]

a : [17  4], t : [[23, 23]]

a : [27 19], t : [[5, 24]]

a : [29 26], t : [[7, 11]]

a : [5 8], t : [[13, 9]]

a : [12 11], t : [[25, 9]]

a : [22 11], t : [[3, 0]]

a : [5 2], t : [[13, 30]]

a : [22 26], t : [[2, 5]]

a : [27 10], t : [[28, 17]]

a : [ 3 24], t : [[17, 25]]

a : [24  9], t : [[25, 5]]

a : [28  4], t : [[2, 25]]

a : [21 24], t : [[25, 26]]

a : [21 22], t : [[3, 11]]

a : [19 26], t : [[2, 28]]

a : [10  5], t : [[8, 5]]

a : [ 2 13], t : [[1, 16]]

a : [ 9 22], t : [[8, 30]]

a : [26 13], t : [[23, 23]]

a : [15 18], t : [[17, 23]]

a : [20  6], t : [[21, 1]]

a : [25 22], t : [[26, 13]]

a : [26 24], t : [[8, 11]]

a : [7 8], t : [[13, 9]]

a : [13 10], t : [[24, 22]]

a : [21 10], t : [[18, 17]]

a : [5 4], t : [[29, 22]]

a : [20 26], t : [[25, 9]]

a : [28 11], t : [[28, 17]]

a : [ 5 24], t : [[2, 5]]

a : [24  7], t : [[25, 5]]

a : [27  5], t : [[25, 8]]

a : [23 24], t : [[25, 26]]

a : [20 21], t : [[17, 25]]

a : [18 27], t : [[2, 28]]

a : [8 5], t : [[23, 2]]

a : [ 1 14], t : [[1, 16]]

a : [ 9 24], t : [[8, 30]]

a : [25 14], t : [[8, 4]]

a : [16 19], t : [[17, 23]]

